"metaphln"	"binsPTR"	"binsRelab"	"Ref_PTR"	"Ref_Relab"
"CSM7KOMH"	0.96506547154712	1	0.998424110475226	0.879881023673371	0.965759633742058
"CSM7KOMP"	0.74964857359636	0.629548510191141	0.808360358799533	0.593117751949219	0.768099336768323
"CSM7KOMT"	0.725993445509261	0.603898037729776	0.753450110136615	0.606726253945137	0.783380615843515
"CSM7KOMX"	0.661468598610271	0.571804316227273	0.716162848334189	0.540626500576743	0.597578123915698
"CSM7KOMZ"	0.661843499117087	0.576257002648191	0.697594575260637	0.548160403964504	0.615365376845208
"CSM7KON2"	0.594925152428594	0.585222761554985	0.788155321047187	0.536107623488338	0.617724869656998
"CSM7KON8"	0.594474690791604	0.566699135333553	0.747872108964725	0.536569212218166	0.601381590916696
"CSM7KONA"	0.802064945386536	0.910545221888748	0.957273157059047	0.790315745756292	0.744916336899773
"CSM7KONK"	0.771265219551807	0.858202142245846	0.967179939934422	0.71732681284846	0.784690517448804
"CSM7KONU"	0.802867201453431	0.882131159005041	0.884007753982758	0.794885023305101	0.828166788943718
"CSM7KOO5"	0.752458759240885	0.571505514168684	0.806114183475966	0.609835405417991	0.685957337347755
"CSM7KOO9"	0.741046684471157	0.56954311724457	0.826030851006989	0.650550024697506	0.670383067344397
"CSM7KOOD"	0.730894053860469	0.644582996167663	0.854717523743091	0.614602112334498	0.690781831820886
"CSM7KOOF"	0.723136066656856	0.530437252838672	0.802342498568126	0.628007398128072	0.696864542637167
"CSM7KOOH"	0.719416855471929	0.651765326016252	0.83398413228965	0.631558146231605	0.726308604993423
"CSM7KOOJ"	0.6585886159998	0.56105960283537	0.770663473498697	0.546994819768072	0.643222105935179
"CSM7KOOL"	0.635930983259865	0.621102689019259	0.797811434786934	0.605944183867238	0.622199873026169
"CSM7KOON"	0.627223887677783	0.628001904811485	0.785855774520131	0.564133758381282	0.649900375637412
"CSM7KOOP"	0.642153855223411	0.60258464099782	0.781611053754753	0.543890185277496	0.647269431366391
"CSM7KOOT"	0.936713789584769	0.871436773212976	0.913707814961969	0.841348307086502	0.850767879707346
"CSM7KOOV"	0.876839644885963	0.826580908277409	0.912503611643198	0.812789702583509	0.81172810102939
